,title,anime_id,type,source,episodes,status,airing,duration,rating,score,scored_by,rank,popularity,members,favorites,licensor,0,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri,year
0,Inu x Boku SS,11013,6,13,12,2,1,24.0,6,7.63,139250,1274.0,231,283882,2809,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2012
1,Seto no Hanayome,2104,6,13,26,2,1,24.0,6,7.89,91206,727.0,366,204003,2579,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007
2,Shugo Chara!! Doki,5262,6,13,51,2,1,24.0,4,7.55,37129,1508.0,1173,70127,802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008
3,Princess Tutu,721,6,14,38,2,1,16.0,6,8.21,36501,307.0,916,93312,3344,3,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
4,Bakuman. 3rd Season,12365,6,13,25,2,1,24.0,6,8.67,107767,50.0,426,182765,2082,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012
5,Yume-iro Pâtissière,6586,6,13,50,2,1,24.0,5,8.03,21618,526.0,1630,45625,826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2009
6,Ultra Maniac,178,6,13,26,2,1,24.0,5,7.26,9663,2594.0,2490,22778,122,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2003
7,Shakugan no Shana II (Second),2787,6,10,24,2,1,24.0,6,7.72,126085,1066.0,332,220591,1075,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2007
8,Nodame Cantabile: Paris-hen,4477,6,13,11,2,1,23.0,6,8.24,53908,281.0,988,85660,282,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
9,Ouran Koukou Host Club,853,6,13,26,2,1,23.0,6,8.34,335137,205.0,69,538843,24072,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
10,Junjou Romantica 2,4814,6,13,12,2,1,24.0,6,8.15,66565,374.0,799,108186,1123,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2008
11,Kaichou wa Maid-sama!,7054,6,13,26,2,1,24.0,6,8.2,315130,314.0,71,531292,14436,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010
12,Sekaiichi Hatsukoi 2,11123,6,13,12,2,1,24.0,6,8.23,53285,288.0,945,89543,726,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2011
13,Tonari no Kaibutsu-kun,14227,6,13,13,2,1,24.0,6,7.71,281448,1093.0,88,482105,4064,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2012
14,Bleach,269,6,13,366,2,1,24.0,6,7.9,433097,693.0,18,819284,40718,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2004
15,Chobits,59,6,13,26,2,1,24.0,6,7.53,175388,1546.0,188,317641,3271,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2002
16,Kimi ni Todoke,6045,6,13,25,2,1,22.0,6,8.13,212710,400.0,111,417136,8041,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2009
17,Naruto: Shippuuden,1735,6,13,500,2,1,23.0,6,8.18,385179,337.0,20,794112,42846,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2007
18,Ranma ½,210,6,13,161,2,1,24.0,1,7.85,59911,802.0,623,134537,2742,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1989
19,Toradora!,4224,6,10,25,2,1,24.0,6,8.39,557898,174.0,13,910373,35322,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2008
20,Bakuman. 2nd Season,10030,6,13,25,2,1,24.0,6,8.49,122090,108.0,374,201720,1023,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011
